Name of the Banks,Date,Savings Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Special Notice Deposit (SND) Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit,Fixed Deposit
MERCANTILE,2022-03-01,4.0,1.0,1.5,2.5,3.0,3.5,4.925,5.05,5.175,5.175,
MGBL,2022-03-01,2.75,3.25,3.5,3.5,3.5,3.75,5.875,6.125,6.25,6.625,6.625
MMBL,2022-03-01,3.0,2.0,2.0,2.0,2.0,3.0,5.05,5.175,5.3,,
MUTUAL TRUST,2022-03-01,2.5,1.25,1.5,1.75,2.0,2.5,4.55,4.675,4.8,4.8,4.8
NBL,2022-03-01,2.0,2.0,2.0,3.0,3.0,3.0,5.55,6.0,6.0,6.0,6.5
NCCBL,2022-03-01,2.0,2.0,2.0,2.0,2.0,2.0,5.6,5.6,5.6,5.6,5.6
NRBBL,2022-03-01,2.25,2.5,3.0,3.5,4.0,4.0,5.675,5.8,5.425,5.3,
NRBCBL,2022-03-01,4.5,2.0,2.25,2.5,2.75,6.0,5.6,6.0,6.0,6.0,6.125
ONE BANK,2022-03-01,3.75,2.0,4.0,2.75,3.0,3.5,4.779999999999999,4.904999999999999,5.029999999999999,5.029999999999999,5.029999999999999
Padma,2022-03-01,5.25,3.5,3.5,3.75,3.75,4.0,6.625,6.875,7.75,,
PREMIER,2022-03-01,2.25,2.0,2.5,2.75,3.0,3.5,5.25,5.1,5.5,5.125,5.125
PRIME,2022-03-01,3.125,0.5,1.0,2.0,2.0,3.15,3.925,4.05,4.3,4.425,4.425
PUBALI,2022-03-01,2.0,1.75,2.0,2.25,2.5,2.75,4.875,5.0,5.0,5.0,5.59
SBACBL,2022-03-01,3.5,2.5,3.5,3.0,3.0,4.0,5.25,6.25,7.0,7.0,7.0
SHAHJALAL,2022-03-01,2.0,1.5,1.5,2.0,2.0,2.0,5.35,5.35,5.525,5.525,5.525
SHIMANTO,2022-03-01,4.75,2.0,2.0,2.0,2.0,2.0,4.02,4.77,5.27,5.52,5.52
SIBL,2022-03-01,3.0,2.0,2.5,2.75,3.25,4.0,4.3,5.675,5.875,,
SOUTHEAST,2022-03-01,1.5,1.5,1.75,2.0,2.25,2.5,4.8,4.8,4.8,4.8,
STANDARD,2022-03-01,2.0,2.0,2.25,2.5,3.0,3.0,4.9,5.025,5.15,5.525,
THE CITY,2022-03-01,3.0,3.0,3.0,3.0,3.0,3.0,4.25,4.75,5.25,5.75,6.0
TRUST BANK,2022-03-01,3.0,0.75,0.75,0.75,0.9,1.0,4.025,4.15,4.275,4.275,4.275
UCBL,2022-03-01,2.75,1.75,2.0,2.25,2.5,2.75,4.675,4.675,4.8,5.05,5.05
UNBL,2022-03-01,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.125,6.125,6.125,6.125
UTTARA,2022-03-01,3.375,2.25,2.75,3.25,3.75,3.75,4.75,4.925,5.075,5.075,5.075
FBs,2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2022-03-01,5.75,0.5,5.0,5.75,5.75,5.75,4.0,4.0,4.375,5.55,5.55
CITI N.A.,2022-03-01,0.45,0.05,0.05,0.05,0.05,0.4,0.1,0.1,0.1,,
COMMERCIAL B.,2022-03-01,3.0,1.0,1.0,1.25,1.5,2.5,3.525,4.025,4.55,4.6,5.425
HABIB,2022-03-01,2.5,3.5,3.5,3.75,3.5,3.0,5.02,5.02,4.77,4.27,5.0
HSBC,2022-03-01,2.125,0.05,0.05,0.1,0.3,0.45,1.35,1.625,1.9,1.9,1.9
NBP,2022-03-01,4.5,0.2,0.3,0.4,0.5,1.0,5.75,5.75,5.75,6.5,6.5
SBI,2022-03-01,1.5,1.0,4.0,4.0,4.0,4.0,4.55,4.55,4.55,4.55,4.55
STAN.CHART,2022-03-01,2.525,0.05,0.05,0.1,0.15,0.2,2.795,2.795,2.795,2.795,2.795
WOORI,2022-03-01,1.25,0.5,0.5,0.5,0.5,0.5,3.425,3.55,3.675,4.3,4.3
AGRANI,2022-04-01,3.0,2.0,2.0,3.0,3.0,3.0,5.5,5.5,6.0,,
BASIC,2022-04-01,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0
BDBL,2022-04-01,3.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,,
JANATA,2022-04-01,3.0,3.0,3.0,3.0,3.0,4.0,5.5,5.5,5.5,5.5,
RUPALI,2022-04-01,3.25,2.5,3.0,3.25,3.5,4.0,5.3,5.3,5.3,5.3,5.3
SONALI,2022-04-01,3.0,2.0,2.0,2.0,3.0,3.0,5.5,5.5,5.5,5.5,
DFIs,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2022-04-01,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,,
PKB,2022-04-01,3.5,,,,,,,,6.0,,
RAKUB,2022-04-01,3.0,3.0,3.0,3.0,4.0,4.0,5.5,6.0,6.5,6.5,6.5
PCBs,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2022-04-01,3.0,1.0,2.0,3.0,3.0,4.0,6.0,6.0,6.0,6.0,
AL-ARAFAH,2022-04-01,2.0,2.0,2.0,2.0,2.0,2.0,4.5,5.0,5.0,5.0,5.0
BANK ASIA,2022-04-01,3.0,2.0,2.0,2.0,2.0,2.0,4.5,5.0,5.0,5.0,5.0
BCBL,2022-04-01,3.5,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,,
Bengal,2022-04-01,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0
BRAC,2022-04-01,3.0,,1.0,1.0,2.0,2.0,5.0,5.5,6.0,6.0,6.0
CBBL,2022-04-01,4.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.5,5.5,5.5
DHAKA,2022-04-01,3.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,5.5,6.0
DUTCH-BANGLA,2022-04-01,2.0,1.0,2.0,3.0,3.0,3.0,4.0,4.5,4.5,4.5,4.5
EBL,2022-04-01,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.5,4.5,3.0,3.0
EXIM,2022-04-01,3.0,2.0,3.0,3.0,3.0,3.0,5.865,5.915,5.975,5.975,5.975
FIRST SECU,2022-04-01,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,,
GIBL,2022-04-01,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0
ICB,2022-04-01,5.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0
IFIC,2022-04-01,2.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0
ISLAMI,2022-04-01,3.0,2.0,2.0,2.0,2.0,2.0,5.0,5.5,6.0,6.0,5.5
JAMUNA,2022-04-01,2.0,1.0,2.0,3.0,4.0,5.0,4.5,4.5,4.5,,
MDBL,2022-04-01,3.5,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,,
MERCANTILE,2022-04-01,4.0,1.0,2.0,3.0,3.0,4.0,5.0,5.5,5.5,5.5,
MGBL,2022-04-01,3.5,3.0,4.0,4.0,4.0,4.0,5.0,5.5,6.0,7.0,7.0
MMBL,2022-04-01,3.0,2.0,2.0,2.0,2.0,3.0,5.5,5.5,5.5,,
MUTUAL TRUST,2022-04-01,3.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
NBL,2022-04-01,2.0,2.0,2.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,7.0
NCCBL,2022-04-01,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.5,5.5
NRBBL,2022-04-01,2.5,3.0,3.0,4.0,4.0,4.0,6.0,6.0,6.0,5.5,
NRBCBL,2022-04-01,4.5,2.0,2.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0
ONE BANK,2022-04-01,4.0,2.0,4.0,3.0,3.0,4.0,5.0,5.0,5.5,5.5,5.5
Padma,2022-04-01,5.5,4.0,4.0,4.0,4.0,4.0,6.5,7.0,8.0,,
PREMIER,2022-04-01,2.5,2.0,3.0,3.0,3.0,4.0,5.5,5.5,6.0,5.5,5.5
PRIME,2022-04-01,3.0,1.0,1.0,2.0,2.0,3.0,4.0,4.5,4.5,4.5,4.5
PUBALI,2022-04-01,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.5
SBACBL,2022-04-01,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0
SHAHJALAL,2022-04-01,2.5,2.0,2.0,3.0,3.0,3.0,5.5,5.5,6.0,6.0,6.0
SHIMANTO,2022-04-01,5.0,2.0,2.0,2.0,2.0,2.0,4.5,5.0,5.5,6.0,6.0
SIBL,2022-04-01,3.0,2.0,3.0,3.0,3.0,4.0,4.5,6.0,6.0,,
SOUTHEAST,2022-04-01,1.5,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,
STANDARD,2022-04-01,2.0,2.0,2.0,3.0,3.0,3.0,5.0,5.5,5.5,6.0,
THE CITY,2022-04-01,3.0,3.0,3.0,3.0,3.0,3.0,4.5,4.5,5.0,5.0,6.0
TRUST BANK,2022-04-01,3.0,1.0,1.0,1.0,1.0,1.0,4.5,4.5,4.5,4.5,4.5
UCBL,2022-04-01,3.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.5,5.5
UNBL,2022-04-01,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0
UTTARA,2022-04-01,3.5,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.5,5.5,5.5
FBs,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2022-04-01,6.0,1.0,5.0,6.0,6.0,6.0,4.0,4.0,4.5,6.0,6.0
CITI N.A.,2022-04-01,0.45,0.05,0.05,0.05,0.05,0.4,0.1,0.1,0.1,,
COMMERCIAL B.,2022-04-01,3.0,1.0,1.0,1.0,2.0,3.0,4.0,4.5,5.0,5.0,5.5
HABIB,2022-04-01,3.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,4.5,3.5,5.0
HSBC,2022-04-01,4.0,0.05,0.05,0.1,0.3,0.45,3.0,3.0,4.0,4.0,4.0
NBP,2022-04-01,5.0,0.2,0.3,0.4,0.5,1.0,6.0,6.0,6.0,7.0,7.0
SBI,2022-04-01,1.5,1.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0
STAN.CHART,2022-04-01,5.0,0.05,0.05,0.1,0.15,0.2,6.0,6.0,6.0,6.0,6.0
WOORI,2022-04-01,1.5,1.0,1.0,1.0,1.0,1.0,3.5,4.0,4.0,4.5,4.5
AGRANI,2022-05-01,2.6,2.0,2.25,2.5,2.75,3.1,5.4,5.525,5.65,,
BASIC,2022-05-01,3.75,3.5,3.5,3.5,3.5,3.5,5.55,5.75,6.0,6.0,6.0
BDBL,2022-05-01,3.0,2.75,3.0,3.25,3.5,3.75,5.69,5.69,5.69,,
JANATA,2022-05-01,2.75,2.75,2.75,3.0,3.0,3.5,5.425,5.574999999999999,5.725,,
RUPALI,2022-05-01,3.25,2.5,3.0,3.25,3.5,4.0,5.345000000000001,5.345000000000001,5.345000000000001,5.345000000000001,5.345000000000001
SONALI,2022-05-01,2.5,1.5,2.0,2.25,2.5,3.0,5.095000000000001,5.220000000000001,5.345000000000001,5.345000000000001,
DFIs,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2022-05-01,3.5,3.0,3.5,3.5,3.5,3.5,5.875,5.925,6.0,,
PKB,2022-05-01,3.25,,,,,,,,5.69,,
RAKUB,2022-05-01,3.0,3.0,3.1,3.25,3.5,3.75,5.095000000000001,5.69,6.375,6.5,6.5
PCBs,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2022-05-01,2.5,1.0,1.75,2.75,3.25,3.5,5.75,5.75,6.0,5.75,
AL-ARAFAH,2022-05-01,2.0,2.25,2.25,2.25,2.25,2.25,4.5,4.875,4.875,4.875,4.875
BANK ASIA,2022-05-01,2.5,2.5,2.5,3.0,3.0,3.0,4.1,5.1,5.35,5.35,5.35
BCBL,2022-05-01,3.375,2.5,3.0,3.0,3.0,3.0,6.0,6.0,6.0,,
Bengal,2022-05-01,2.875,2.5,2.5,2.5,2.75,3.0,6.25,6.25,6.25,6.25,6.25
BRAC,2022-05-01,2.5,0.25,0.75,1.25,1.5,2.0,4.85,5.5,5.85,5.85,5.85
CBBL,2022-05-01,3.5,2.0,2.25,2.5,2.75,3.0,5.0,5.0,5.375,5.25,5.25
DHAKA,2022-05-01,3.25,2.0,2.25,2.5,2.75,3.0,4.845000000000001,4.845000000000001,4.845000000000001,5.095000000000001,6.21
DUTCH-BANGLA,2022-05-01,1.875,1.0,2.0,2.5,2.5,2.5,3.825,4.125,4.425,4.425,4.425
EBL,2022-05-01,2.0,1.0,2.0,2.0,2.0,2.0,3.975,4.125,4.375,3.0,3.0
EXIM,2022-05-01,2.5,2.0,3.0,3.0,3.0,3.0,5.725,5.825,5.95,5.95,5.95
FIRST SECU,2022-05-01,2.25,2.25,2.25,2.25,2.25,2.25,5.69,5.69,5.875,,
GIBL,2022-05-01,3.0,2.5,2.5,2.5,2.5,2.5,6.0,6.0,6.0,6.0,6.0
ICB,2022-05-01,4.5,3.0,4.0,4.0,4.0,4.0,5.8,5.8,6.0,6.0,6.0
IFIC,2022-05-01,2.0,1.5,2.0,2.5,3.0,3.5,6.0,6.0,6.0,6.0,6.0
ISLAMI,2022-05-01,3.2,1.8,1.8,1.8,1.8,1.8,5.69,5.66,5.69,5.69,5.425
JAMUNA,2022-05-01,2.0,1.0,2.0,3.0,4.0,5.0,4.375,4.375,4.375,,
MDBL,2022-05-01,3.125,2.5,3.25,3.25,4.0,4.25,5.0,5.125,5.0,,
MERCANTILE,2022-05-01,4.0,1.0,1.5,2.5,3.0,3.5,4.975,5.1,5.225,5.225,
MGBL,2022-05-01,3.0,3.0,3.5,3.5,3.5,3.75,4.875,5.375,5.625,6.625,6.625
MMBL,2022-05-01,3.0,2.0,2.0,2.0,2.0,3.0,5.095000000000001,5.220000000000001,5.345000000000001,,
MUTUAL TRUST,2022-05-01,2.5,1.25,1.5,1.75,2.0,2.5,4.75,4.875,5.0,5.0,5.0
NBL,2022-05-01,2.0,2.0,2.0,3.0,3.0,3.0,5.6,6.0,6.0,6.0,6.5
NCCBL,2022-05-01,2.0,2.0,2.0,2.0,2.0,2.0,4.720000000000001,4.720000000000001,4.845000000000001,5.345000000000001,5.345000000000001
NRBBL,2022-05-01,2.25,2.5,3.0,3.5,4.0,4.0,6.0,6.0,6.0,5.5,
NRBCBL,2022-05-01,4.5,2.0,2.25,2.5,2.75,6.0,5.75,6.0,6.0,6.0,6.125
ONE BANK,2022-05-01,3.75,2.0,4.0,2.75,3.0,3.5,4.845000000000001,4.970000000000001,5.095000000000001,5.095000000000001,5.095000000000001
Padma,2022-05-01,4.75,3.5,3.5,3.75,3.75,4.0,6.625,6.875,7.5,,
PREMIER,2022-05-01,2.25,2.0,2.5,2.75,3.0,3.5,5.25,5.125,5.5,5.15,5.15
PRIME,2022-05-01,3.125,0.5,1.0,2.0,2.0,3.15,3.97,4.095000000000001,4.345000000000001,4.470000000000001,4.470000000000001
PUBALI,2022-05-01,2.0,1.75,2.0,2.25,2.5,2.75,4.875,5.0,5.0,5.0,5.59
SBACBL,2022-05-01,4.0,2.5,2.5,2.5,2.5,2.5,4.625,4.625,4.625,4.625,4.625
SHAHJALAL,2022-05-01,2.0,2.0,2.0,2.5,2.5,2.5,5.525,5.525,5.75,5.75,5.75
SHIMANTO,2022-05-01,4.75,2.0,2.0,2.0,2.0,2.0,4.1,4.85,5.35,5.6,5.6
SIBL,2022-05-01,3.0,2.0,2.5,2.75,3.25,4.0,4.3,5.675,5.875,,
SOUTHEAST,2022-05-01,1.5,1.5,1.75,2.0,2.25,2.5,4.825,4.85,4.875,5.0,
STANDARD,2022-05-01,2.0,2.0,2.25,2.5,3.0,3.0,4.970000000000001,5.095000000000001,5.220000000000001,5.595000000000001,
THE CITY,2022-05-01,3.0,3.0,3.0,3.0,3.0,3.0,4.25,4.375,4.75,4.85,5.75
TRUST BANK,2022-05-01,3.0,0.75,0.75,0.75,0.9,1.0,4.095000000000001,4.220000000000001,4.345000000000001,4.345000000000001,4.345000000000001
UCBL,2022-05-01,2.75,1.75,2.0,2.25,2.5,2.75,4.720000000000001,4.720000000000001,5.0,5.25,5.25
UNBL,2022-05-01,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.125,6.125,6.125,6.125
UTTARA,2022-05-01,3.375,2.25,2.75,3.25,3.75,4.25,4.845000000000001,4.970000000000001,5.095000000000001,5.095000000000001,5.095000000000001
FBs,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2022-05-01,5.75,0.5,5.0,5.75,5.75,5.75,4.05,4.05,4.425,5.69,5.69
CITI N.A.,2022-05-01,0.45,0.05,0.05,0.05,0.05,0.4,0.1,0.1,0.1,,
COMMERCIAL B.,2022-05-01,3.0,1.0,1.0,1.25,1.5,2.5,3.75,4.1,4.8,4.825,5.425
HABIB,2022-05-01,2.5,2.5,3.5,3.75,3.5,3.0,5.095000000000001,5.095000000000001,4.845000000000001,4.345000000000001,5.0
HSBC,2022-05-01,2.125,0.05,0.05,0.1,0.3,0.45,1.35,1.625,1.9,1.9,1.9
NBP,2022-05-01,4.5,0.2,0.3,0.4,0.5,1.0,5.75,5.75,5.75,6.5,6.5
SBI,2022-05-01,1.5,1.0,4.0,4.0,4.0,4.0,4.595000000000001,4.595000000000001,4.595000000000001,4.595000000000001,4.595000000000001
STAN.CHART,2022-05-01,2.525,0.05,0.05,0.1,0.15,0.2,2.87,2.87,2.87,2.87,2.87
WOORI,2022-05-01,1.25,0.5,0.5,0.5,0.5,0.5,3.475,3.6,3.725,4.35,4.35
AGRANI,2022-06-01,2.6,2.0,2.25,2.5,2.75,3.1,5.425,5.55,5.675,,
BASIC,2022-06-01,3.75,3.5,3.5,3.5,3.5,3.5,5.625,5.775,6.0,6.0,6.0
BDBL,2022-06-01,3.0,2.75,3.0,3.25,3.5,3.75,5.75,5.75,5.75,,
JANATA,2022-06-01,2.75,2.75,2.75,3.0,3.0,3.5,5.425,5.574999999999999,5.725,,
RUPALI,2022-06-01,3.25,2.5,3.0,3.25,3.5,4.0,5.75,5.875,6.0,6.0,6.0
SONALI,2022-06-01,2.5,1.5,2.0,2.25,2.5,3.0,5.125,5.275,5.425,5.425,
DFIs,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2022-06-01,3.5,3.5,3.5,3.5,3.5,3.5,5.875,5.925,6.0,,
PKB,2022-06-01,3.25,,,,,,,,5.75,,
RAKUB,2022-06-01,3.0,3.0,3.1,3.25,3.5,3.75,5.125,5.75,6.375,6.5,6.5
PCBs,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2022-06-01,2.5,1.0,1.75,2.75,3.25,3.5,5.75,5.75,6.0,5.75,
AL-ARAFAH,2022-06-01,2.0,2.25,2.25,2.25,2.25,2.25,4.5,4.875,4.875,4.875,4.875
BANK ASIA,2022-06-01,2.5,2.5,2.5,3.0,3.0,3.0,4.125,5.125,5.375,5.375,5.375
BCBL,2022-06-01,3.375,2.5,3.0,3.0,3.0,3.0,6.0,6.0,6.0,,
Bengal,2022-06-01,2.875,2.5,2.5,2.5,2.75,3.0,6.25,6.25,6.25,6.25,6.25
BRAC,2022-06-01,2.5,0.25,0.75,1.25,1.5,2.0,5.5,5.625,6.0,5.875,5.875
CBBL,2022-06-01,3.5,2.0,2.25,2.5,2.75,3.0,5.0,5.0,5.375,5.25,5.25
DHAKA,2022-06-01,3.25,2.0,2.25,2.5,2.75,3.0,4.875,4.875,4.875,5.125,6.21
DUTCH-BANGLA,2022-06-01,1.875,1.0,2.0,2.5,2.5,2.5,3.825,4.125,4.425,4.425,4.425
EBL,2022-06-01,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.125,4.375,3.0,3.0
EXIM,2022-06-01,2.5,2.0,3.0,3.0,3.0,3.0,5.725,5.825,5.95,5.95,5.95
FIRST SECU,2022-06-01,2.25,2.25,2.25,2.25,2.25,2.25,5.75,5.75,5.875,,
GIBL,2022-06-01,3.0,2.5,2.5,2.5,2.5,2.5,6.0,6.0,6.0,6.0,6.0
ICB,2022-06-01,4.5,3.0,4.0,4.0,4.0,4.0,5.8,5.8,6.0,6.0,6.0
IFIC,2022-06-01,2.0,1.5,2.0,2.5,3.0,3.5,6.0,6.0,6.0,6.0,6.0
ISLAMI,2022-06-01,3.2,1.8,1.8,1.8,1.8,1.8,5.75,5.6899999999999995,5.75,5.75,5.425
JAMUNA,2022-06-01,2.0,1.0,2.0,3.0,4.0,5.0,4.425,4.425,4.425,,
MDBL,2022-06-01,3.125,2.5,3.25,3.25,4.0,4.25,5.0,5.125,5.0,,
MERCANTILE,2022-06-01,4.0,1.0,1.5,2.5,3.0,3.5,5.0,5.125,5.25,5.25,
MGBL,2022-06-01,2.5,3.0,3.5,3.5,3.75,3.75,6.375,6.75,6.75,7.125,7.125
MMBL,2022-06-01,3.0,2.0,2.0,2.0,2.0,3.0,5.125,5.25,5.375,,
MUTUAL TRUST,2022-06-01,2.5,1.25,1.5,1.75,2.0,2.5,4.75,4.875,5.0,5.0,5.0
NBL,2022-06-01,2.0,2.0,2.0,3.0,3.0,5.5,5.625,6.0,6.0,6.0,6.5
NCCBL,2022-06-01,2.0,2.0,2.0,2.0,2.0,2.0,5.85,6.0,6.0,6.0,6.0
NRBBL,2022-06-01,2.25,2.5,3.0,3.5,4.0,4.0,6.0,6.0,6.0,5.5,
NRBCBL,2022-06-01,4.75,2.0,2.25,2.5,2.75,6.0,6.0,6.0,6.0,6.0,6.125
ONE BANK,2022-06-01,3.75,2.0,4.0,2.75,3.0,3.5,5.0,5.125,5.25,5.25,5.25
Padma,2022-06-01,5.25,3.5,3.5,3.75,3.75,4.0,6.625,6.875,7.75,,
PREMIER,2022-06-01,2.25,2.0,2.5,2.75,3.0,3.5,5.25,5.2,5.5,5.25,5.25
PRIME,2022-06-01,3.125,0.5,1.0,2.0,2.0,3.15,5.375,5.25,5.375,5.25,5.25
PUBALI,2022-06-01,2.0,2.0,2.0,2.25,2.5,2.75,5.125,5.25,5.25,5.25,5.84
SBACBL,2022-06-01,4.0,2.5,2.5,2.5,2.5,2.5,5.5,5.5,5.5,5.5,5.5
SHAHJALAL,2022-06-01,2.0,2.0,2.0,2.5,2.5,2.5,5.0,5.0,5.0,5.0,5.0
SHIMANTO,2022-06-01,4.75,2.0,2.0,2.0,2.0,2.0,4.375,4.925,5.5,5.75,5.75
SIBL,2022-06-01,3.0,2.0,2.5,2.75,3.25,4.0,4.3,5.675,5.875,,
SOUTHEAST,2022-06-01,1.5,1.5,1.75,2.0,2.25,2.5,4.875,4.875,4.875,5.0,
STANDARD,2022-06-01,2.0,2.0,2.25,2.5,3.0,3.0,5.0,5.125,5.25,5.625,
THE CITY,2022-06-01,3.0,3.0,3.0,3.0,3.0,3.0,4.25,4.375,4.75,4.875,4.875
TRUST BANK,2022-06-01,3.0,0.75,0.75,0.75,0.9,1.0,4.125,4.25,4.375,4.375,4.375
UCBL,2022-06-01,2.75,1.75,2.0,2.25,2.5,2.75,4.75,4.8,5.0,5.25,5.25
UNBL,2022-06-01,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.125,6.125,6.125,6.125
UTTARA,2022-06-01,3.375,2.25,2.75,3.25,3.75,4.25,4.875,5.0,5.125,5.125,5.125
FBs,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL FALAH,2022-06-01,5.75,0.5,5.0,5.75,5.75,5.75,4.05,4.05,4.425,5.75,5.75
CITI N.A.,2022-06-01,0.45,0.05,0.05,0.05,0.05,0.4,0.1,0.1,0.1,,
COMMERCIAL B.,2022-06-01,3.0,1.0,1.0,1.25,1.5,2.5,3.75,4.75,5.125,7.075,7.325
HABIB,2022-06-01,2.5,2.5,3.5,3.5,3.5,3.0,5.125,5.125,5.375,5.5,5.5
HSBC,2022-06-01,2.125,0.05,0.05,0.1,0.3,0.45,1.35,1.625,1.9,1.9,1.9
NBP,2022-06-01,4.5,0.2,0.3,0.4,0.5,1.0,5.75,5.75,5.75,6.5,6.5
SBI,2022-06-01,1.5,1.0,4.0,4.0,4.0,4.0,4.625,4.625,4.625,4.625,4.625
STAN.CHART,2022-06-01,2.525,0.05,0.05,0.1,0.15,0.2,2.9,2.9,2.9,2.9,2.9
WOORI,2022-06-01,1.25,0.5,0.5,0.5,0.5,0.5,3.5,3.625,3.75,4.375,4.375
AGRANI,2022-07-01,2.6,2.0,2.25,2.5,2.75,3.1,5.75,5.875,6.0,,
BASIC,2022-07-01,3.75,3.5,3.5,3.5,3.5,3.5,5.654999999999999,5.81,6.0,6.0,6.0
BDBL,2022-07-01,3.0,2.75,3.0,3.25,3.5,3.75,5.81,5.81,5.81,,
JANATA,2022-07-01,2.75,2.75,3.0,3.25,3.5,4.0,5.675,5.825,6.0,,
RUPALI,2022-07-01,3.25,2.5,3.0,3.25,3.5,4.0,5.75,5.875,6.0,6.0,6.0
SONALI,2022-07-01,2.5,2.0,2.5,3.0,3.5,4.0,5.654999999999999,5.779999999999999,5.925,5.925,
DFIs,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BKB,2022-07-01,3.5,3.5,3.5,3.5,3.5,3.5,5.875,5.925,6.0,,
PKB,2022-07-01,3.25,,,,,,,,5.81,,
RAKUB,2022-07-01,3.0,3.0,3.1,3.25,3.5,3.75,5.154999999999999,5.81,6.375,6.5,6.5
PCBs,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB-BANK,2022-07-01,2.5,1.0,1.75,2.75,3.25,3.5,6.0,6.0,6.5,6.0,
AL-ARAFAH,2022-07-01,2.0,2.25,2.25,2.25,2.25,2.25,4.55,4.925,4.925,4.925,4.925
BANK ASIA,2022-07-01,2.5,2.5,2.5,3.0,3.0,3.0,4.154999999999999,5.154999999999999,5.404999999999999,5.404999999999999,5.404999999999999
BCBL,2022-07-01,3.375,2.5,3.0,3.0,3.0,3.0,6.0,6.0,6.0,,
Bengal,2022-07-01,2.875,2.5,2.5,2.5,2.75,3.0,6.25,6.25,6.25,6.25,6.25
BRAC,2022-07-01,2.5,0.25,0.75,1.25,1.5,2.0,5.5,5.625,6.029999999999999,5.904999999999999,5.904999999999999
CBBL,2022-07-01,3.5,2.0,2.25,2.5,2.75,3.0,5.0,5.0,5.375,5.25,5.25
DHAKA,2022-07-01,3.25,2.0,2.25,2.5,2.75,3.0,4.904999999999999,4.904999999999999,4.904999999999999,5.154999999999999,6.21
DUTCH-BANGLA,2022-07-01,1.875,1.0,2.0,2.5,2.5,2.5,3.905,4.175,4.45,4.45,4.45
EBL,2022-07-01,2.0,1.0,2.0,2.0,2.0,2.0,4.05,4.175,4.375,3.0,3.0
